,text,username,tweet_id,timestamp,hashtags,screen_name,retweets,likes,uni_handle,compound,Sentiment,score
333,Amrita school of engineering bangalore.Amma want to come to campus pic.twitter.com/2XYiWhNcZF,pavankalyanreddy reddy,1186557060256686080,2019-10-22 08:17:02,[],pavanka05307588,2,1,,0.0772,Positive,3
334,"A final-year engineering student jumped to his death from the seventh floor of Amrita School of Engineering in Bengaluru on Monday.
 https://www.deccanherald.com/city/bengaluru-crime/student-jumps-to-death-after-being-expelled-over-strike-770137.html …",Deccan Herald,1186489703387713536,2019-10-22 03:49:23,[],DeccanHerald,2,2,,-0.5994,Negative,1
335,"This is one my friend who committed suicide, please don't join ur people in Amrita school of engineering Bangalore campus.This is the worst clg that they don't even respect parents.he commented because of sever harrassment from faculty @PMOIndiahttps://twitter.com/dhanyarajendran/status/1186295123493048320 …",Charan ❤️,1186309773139951616,2019-10-21 15:54:25,[],charancult1,0,0,,-0.7537,Negative,1
336,@humanrights1st @KTRTRS @MaguntaOfficial @ysjagan @hydcitypolice @CMofKarnataka please look into this incident at amrita school of engineering in Bangalore. https://twitter.com/bhuvan_reddy_v/status/1186272304793300993 …,Bhuvaneswar_Reddy,1186301496020717568,2019-10-21 15:21:31,[],bhuvan_reddy_v,3,3,,0.3182,Positive,4
337,Student commits sucide at amrita school of engineering bangalore due to torture by staff as he protests for clean drinking water & food.@PawanKalyan @ndtv @timesofindia @republic @CNN @Swamy39 @PMOIndia @BSYBJP @BJP4Karnataka @AmitShah @ArvindKejriwal @JanaSenaParty @BJP4Indiapic.twitter.com/pMnvHwzFBO,Karthik Nerella,1186283159735816192,2019-10-21 14:08:40,[],NKarthik007,29,11,,-0.4588,Negative,2
338,"Amrita school of engineering, Amritapuri campus, Kollam, Kerala Pin 690525
I am building market for your business. You do #CSR
By
Donate 5 rupee for every order you get from our campus, to child education in @AMRITAedu",Parikshith,1185394320544694272,2019-10-19 03:16:44,['CSR'],Pariksh60222823,0,0,,0.0,Neutral,3
339,"A Tribute to Superstar Mahesh Babu by Amrita school of engineering students banglore . It's an tribute to MB on his birthday by 4000 students ,10 floors :) pic.twitter.com/N0OcTKY8Wcpic.twitter.com/1YMLrMpbHH",Ghouse Momin.,1160200476383596544,2019-08-10 14:45:23,[],ghouse_official,0,1,,0.4588,Positive,4
340,Fast track your business’ growth and transformation with cutting-edge digital solutions! Check out this infographic to explore how you can set-off on the path to #DigitalTransformation. https://autode.sk/3fy7jdJ pic.twitter.com/xsXEzwFx1y,Autodesk India,1283397123317231616,2020-07-15 13:44:53,['DigitalTransformation'],autodeskindia,8,67,,0.5562,Positive,4
341,"CBSE Principal meet on changing #education scenarios, attended by 90 #school principals, was held on 3rd August, 2019 organized by Amrita School of Engineering, #Bengaluru campus for #Mysore zone.pic.twitter.com/8JTHaopYrr",Amrita Vishwa Vidyapeetham,1160140407935602688,2019-08-10 10:46:42,"['education', 'school', 'Bengaluru', 'Mysore']",AMRITAedu,1,7,,0.0,Neutral,3
342,"A tribute to @urstrulyMahesh from Amrita school of engineering , Bangalore.
#HappyBirthdaySSMBpic.twitter.com/uzBmO62xFM",M̸o̸u̸l̸a̸l̸i̸ D̸H̸F̸M̸,1159881665860161536,2019-08-09 17:38:33,['HappyBirthdaySSMBpic'],ItsMoulali,10,15,,0.0,Neutral,3
343,"Saaho trailer release celebrations by AMRITA SCHOOL OF ENGINEERING,Prabhas Fans bengaluru.
#Saahopic.twitter.com/9xApsEvxHz",sudheer teja,1159881109120749568,2019-08-09 17:36:20,['Saahopic'],sudheerteja7,19,50,,0.0,Neutral,3
344,"A tribute to @urstrulyMahesh from Amrita school of engineering , Bangalore.
#HappyBirthdaySSMB
#HappyBirthdaySuperstarMAHESH
#SuperStarMaheshBabupic.twitter.com/Am97EYDU7J",💫,1159879813118623744,2019-08-09 17:31:11,"['HappyBirthdaySSMB', 'HappyBirthdaySuperstarMAHESH', 'SuperStarMaheshBabupic']",SathishAneNenu,5,6,,0.0,Neutral,3
345,"A Tribute to Superstar Mahesh Babu by Amrita school of engineering students banglore . It's an tribute to MB on his birthday by 4000 students ,10 floors :) pic.twitter.com/2w1q8qP3i2",Vasu Mattaparthi,1159860215593832448,2019-08-09 16:13:19,[],mattaparthi888,760,1272,,0.4588,Positive,4
