,Tweet_text,date,username,retweets,uni_handle,compound,Sentiment
23,"IIT Madras, IISc Bangalore and IIT Delhi bagged the top three positions among educational institutions in the country in the HRD Ministry’s National Institutional Ranking Framework (NIRF) announced on Thursday. #bschool https://www.hindustantimes.com/education/nirf-rankings-2020-iit-madras-best-institution-in-india-7-iits-in-top-10/story-4clVUTTJ53zwr5eE3NxMCI.html",2020-06-12 12:08:42+00:00,m7admit,0,0.0,0.2023,Positive
24,IIT Madras not in Top Universities around World. Why?? Details Inside:: https://youtu.be/WQU4B_amW4Q #NIRFRankings2020 #NIRF #NIRF2020 #NIRFRanking #Top #University #universityrankings #ranking #top10 #Top100 #Engineering #medical @iitmadras #IITMadras #IITDelhi #iitbombay,2020-06-12 11:54:40+00:00,BugaliaAnuj,0,0.0,0.1451,Positive
25,@iitmadras @iitdelhi @iiscbangalore @iitbombay Source @the_hindu,2020-06-12 11:47:44+00:00,aju6equj5,0,0.0,0.0,Neutral
26,"If Universities like IIT Delhi, DU nd international univ. Like Oxford and Cambridge can cancle exam,then why cn't IGNOU? Life of students is more important than exams. #Demand_For_No_Exam_in_IGNOU #Promote_all_IGNOU_students @OfficialIGNOU @DrRPNishank @HRDMinistry @AH_Helpline",2020-06-12 11:46:25+00:00,hindu_kaafir,6,0.0,0.7264,Positive
27,"IIT Madras, IISc Bangalore and IIT Delhi bagged the top three positions among educational institutions in the country in the HRD Ministry's National Institutional Ranking Framework (NIRF) announced on Thursday. #bschool https://www.ndtv.com/india-news/nirf-rankings-2020-iit-madras-best-institution-in-country-7-iits-in-top-10-2244687",2020-06-12 11:34:46+00:00,m7admit,0,0.0,0.2023,Positive
28,Sir - Thousands & lakhs of students are studying hard for NEET & JEE for years together. Cancelling it will be extremely hard on them. Better planning at exam centres and more than adequate precautions would be the right way,2020-06-12 11:12:00+00:00,animanoj,0,0.0,0.2927,Positive
29,Students from anywhere across the country can prepare for the toughest entrance examinations under the tutelage and guidance of our passionate teachers who have been moulding aspirants into toppers for the last two decades. #IITDelhi #iitmains #iitjee #JEEMains #jee,2020-06-12 10:54:09+00:00,enables_in,0,0.0,0.4767,Positive
30,Thank you Patel Saab,2020-06-12 10:49:04+00:00,drqayumiitk,0,0.0,0.3612,Positive
31,Congratulations sir.... ,2020-06-12 10:42:00+00:00,AanandVatsal,0,0.0,0.5994,Positive
32,#RegisterNow at #onlinetraining for enquiries call @RajeevG45843409 @StudyAtFuture @MJPRUniv @Nalanda_Inst @IITKanpur @HbtuKanpur @CSJM_University @iitmpune @iitdelhi @iitbombay,2020-06-12 10:38:23+00:00,PreetiGangwar19,4,0.0,0.0,Neutral
33,"New Delhi, Jun 11 (PTI) IIT Madras, IISc Bangalore and IIT Delhi bagged the top three positions among educational institutions in the country in the HRD Ministry's National Institutional Ranking Framework (NIRF) announced on Thursday. #bschool https://in.news.yahoo.com/nirf-rankings-iit-madras-best-114003835.html",2020-06-12 10:21:33+00:00,m7admit,0,0.0,0.2023,Positive
34,RD Ministry Ramesh Pokhriyal announced the NIRF India Rankings 2020 today. The IIT Madras ranked first in overall category followed by the IISc Bangalore and IIT Delhi.,2020-06-12 10:10:15+00:00,PUSHPEN27606910,0,0.0,0.0,Neutral
35,"We r not ur testing kits,first open ur parliament,vidhan bhavan,lok bhavan,come around selflessly in public and then think about ur conduction of exam. We are here to set our future,not to done with our live. #HealthOverExams #postponejee #postponeneet #StudentLivesMatter #notok",2020-06-12 10:00:40+00:00,Sahilfreaks,5,0.0,0.0,Neutral
36,We want postponement of jee2020,2020-06-12 09:56:34+00:00,subhamG02174839,0,0.0,0.0772,Positive
