id_review,caption,timestamp,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUM4bktxcHh3RRAB,,a month ago,2020-08-01 15:19:39.283214,5.0,kaushik madhyastha,0,0,https://www.google.com/maps/contrib/104019578602952517308?hl=en-IN
ChRDSUhNMG9nS0VJQ0FnSUM4bVBKZBAB,Go to nitk.ac.in for full details. It's an excellent institute for any meritorious student after 12th.,a month ago,2020-08-01 15:19:39.284079,5.0,Muralidhar Kulkarni,0,0,https://www.google.com/maps/contrib/109264766588896408972?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUM4eU5QNXpBRRAB,,a month ago,2020-08-01 15:19:45.596203,4.0,Deeksha S,1,0,https://www.google.com/maps/contrib/111650636106595528826?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUM4c051WjBnRRAB,,a month ago,2020-08-01 15:19:45.597142,4.0,Aman Shetty,0,0,https://www.google.com/maps/contrib/110783516624316836955?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjXzV2elNREAE,,a month ago,2020-08-01 15:19:45.597994,5.0,Deepak Kumar,2,0,https://www.google.com/maps/contrib/111772632938906682594?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjcjZmeXZ3RRAB,(Translated by Google) Service is good  (Original) Service is gud,a month ago,2020-08-01 15:19:45.598849,5.0,BRP BR,1,0,https://www.google.com/maps/contrib/104035255322608700711?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjcjdEN2p3RRAB,,a month ago,2020-08-01 15:19:45.599720,5.0,Mohamad Mukthar,0,0,https://www.google.com/maps/contrib/111377539603073691757?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjai1DeHJ3RRAB,,a month ago,2020-08-01 15:19:45.600658,5.0,kiran kanchan,0,0,https://www.google.com/maps/contrib/109121393006002070330?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjLThYczBBRRAB,,a month ago,2020-08-01 15:19:45.601587,4.0,Ramya Kulal,1,0,https://www.google.com/maps/contrib/115214866551453794870?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjNjkyRnZRRRAB,Good,a month ago,2020-08-01 15:19:45.602518,1.0,Tulsiram Jogrash,2,0,https://www.google.com/maps/contrib/109741537104242303694?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjbGUybUlREAE,,a month ago,2020-08-01 15:19:45.603377,5.0,Tanvi Jagadish,0,0,https://www.google.com/maps/contrib/116144758080964620715?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjaVo2bkJBEAE,,a month ago,2020-08-01 15:19:45.604308,4.0,Dharavath Kishan,0,0,https://www.google.com/maps/contrib/116428080551271143297?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjMGJDSWRnEAE,,a month ago,2020-08-01 15:19:51.986446,5.0,Kalavathi Manjunath Navada,0,0,https://www.google.com/maps/contrib/107362325439990828298?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURja2VhUHN3RRAB,,a month ago,2020-08-01 15:19:51.987319,4.0,Sukesh Salian,0,0,https://www.google.com/maps/contrib/112488131633053319669?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjNGVXc0d3EAE,,a month ago,2020-08-01 15:19:51.988326,5.0,Nishmitha Nishmitha,0,0,https://www.google.com/maps/contrib/113406722132394808127?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjNGRyMXlnRRAB,,a month ago,2020-08-01 15:19:51.989189,4.0,Ananda Srivardhini,0,0,https://www.google.com/maps/contrib/101368640584423486353?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjanBxZDlBRRAB,,a month ago,2020-08-01 15:19:51.990047,4.0,Rishith Shetty,1,0,https://www.google.com/maps/contrib/103390521317123917587?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjOW9mQ093EAE,Awasm experience and the part is beach.,a month ago,2020-08-01 15:19:51.990906,5.0,Pankaj Goutam,0,0,https://www.google.com/maps/contrib/115649933313493321966?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjdHZHN2FnEAE,,a month ago,2020-08-01 15:19:51.991838,5.0,Anusha Salian,0,0,https://www.google.com/maps/contrib/108295032550852422902?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjMXRDQ093EAE,,a month ago,2020-08-01 15:19:51.992693,5.0,sunil pai,1,0,https://www.google.com/maps/contrib/111606091676970514643?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjcHNuZW5BRRAB,,a month ago,2020-08-01 15:19:51.993630,4.0,Shreeharsha G Bhat,0,0,https://www.google.com/maps/contrib/100453290997173898278?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjLXRQOG9RRRAB,I was research scholar here. One of the best NIT'S of India. Competing IIT's also. Some of the braches in NITK are not there in IIT'S. It's pleasure to be NITKIAN✌🏻,a month ago,2020-08-01 15:19:51.994497,5.0,ARUNKUMAR YADAV,0,0,https://www.google.com/maps/contrib/114335311860892063305?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjLXZyOXJRRRAB,,a month ago,2020-08-01 15:19:58.554761,5.0,GANESH LAMBANY GOWDA,0,0,https://www.google.com/maps/contrib/115086469070433914111?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjdXFMN0RREAE,,a month ago,2020-08-01 15:19:58.555772,5.0,Henry Aranha,0,0,https://www.google.com/maps/contrib/112666048384208628414?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjdXBTcnhnRRAB,,a month ago,2020-08-01 15:19:58.556724,5.0,KN Shubhanga,1,0,https://www.google.com/maps/contrib/101542485212131047504?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjcXNiSEJREAE,,a month ago,2020-08-01 15:19:58.557690,5.0,abhijit roy,0,0,https://www.google.com/maps/contrib/102836990618620008763?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjeXNQWExREAE,It's the only NIT in Karnataka and most reputed college,a month ago,2020-08-01 15:19:58.558669,5.0,kumar dhananjay,0,0,https://www.google.com/maps/contrib/112781930794643920721?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjeXQ2TTF3RRAB,,a month ago,2020-08-01 15:19:58.559842,5.0,Akshay Shetty,2,0,https://www.google.com/maps/contrib/104818546267795943487?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjMHJMNG1BRRAB,,a month ago,2020-08-01 15:19:58.560797,5.0,Vijay Ratnam,0,0,https://www.google.com/maps/contrib/105962341816131481548?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjMHZqQ1lnEAE,,a month ago,2020-08-01 15:19:58.561761,5.0,Maa Editography,1,0,https://www.google.com/maps/contrib/104757599990420842534?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjNHN2WERREAE,,a month ago,2020-08-01 15:19:58.562980,3.0,Rudramuni Thippeswamy,0,0,https://www.google.com/maps/contrib/103906385803902295283?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjNHFtMmN3EAE,,a month ago,2020-08-01 15:19:58.563943,5.0,Santhosh K,0,0,https://www.google.com/maps/contrib/117921708587895894259?hl=en-IN
