id_review,caption,timestamp,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSURzOFA3TjlBRRAB,"Worst college ever, Management is very very worst persons, money minded people..",3 months ago,2020-06-18 22:17:32.192189,1.0,venkatesh venkat,20,0,https://www.google.com/maps/contrib/114435295412871650404?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURrMjdQOHNRRRAB,"The worst call service, the number provided never picks the calls or even respond but always remains busy tone, from past 2 weeks I am trying to contact the university number, because I am not in town. Kindly show the courtesy to respond to the calls.",11 months ago,2020-06-18 22:17:32.193704,3.0,John Shijo,7,0,https://www.google.com/maps/contrib/103776985315870478555?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNVM2N1VFpnEAE,It was a nice University had fun all day . Very good for learning,10 months ago,2020-06-18 22:17:32.195241,5.0,Self-learning Kumar,3,0,https://www.google.com/maps/contrib/113904911132237425739?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUQwX2V6ZnFBRRAB,Great place to do engineering.,7 months ago,2020-06-18 22:17:32.196783,5.0,goutham t,0,0,https://www.google.com/maps/contrib/116200726235935732288?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNVblo2elV3EAE,One of the top ten colleges in Bangalore with amazing placement opportunities.,10 months ago,2020-06-18 22:17:38.681603,5.0,The Iris,0,0,https://www.google.com/maps/contrib/106689194273325788181?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURZcElHNERnEAE,Educationally very popular and one of the best institutions in Bengaluru. Campus lacks play grounds. Food in the hostels isn't so good.,a year ago,2020-06-18 22:17:38.683147,4.0,Sujan Chegu,0,0,https://www.google.com/maps/contrib/109615382896855084877?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURrNC1PR3N3RRAB,Discussion is only money and all seats are sold to agent and management quota.Many parents dissapointed the way PES UNIVERSITY coducting the councilling and seat allocation .Really bad.I will not recomment in my life to any people in karnataka.,11 months ago,2020-06-18 22:17:38.684655,1.0,G.ASOKAN GANAPATHI,5,0,https://www.google.com/maps/contrib/118366011171194266902?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNFb2FyY2RBEAE,"Had been here to attend a concert during the fest. They told cosmetics like lipstick and eyeliner etc is not allowed inside .That's rediculous. Then they told we shud leave it outside in a box with a small label. They took so many items form everyone and left it unattended. I lost everything, so did sooo many other girls. Everyone was so mad . They were being so irresponsible and on top of that shouting at everyone saying y did u bring. It was not even mentioned in the tickets. Irresponsible and arrogant .",a year ago,2020-06-18 22:17:38.686157,1.0,Suman Shettigar,8,0,https://www.google.com/maps/contrib/112761215098145709796?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURBak9YUldREAE,"Very good University College having many Institutions! Though the continuous construction work disturbs current students, it's constantly developing new infrastructure, and that's a good sign!   Quite far away from the City Centre on the outskirts. The students are hard working and teachers dedicated. Currently, It's one of the best in Bangalore",2 years ago,2020-06-18 22:17:38.687691,4.0,Naveen Kumar,81,0,https://www.google.com/maps/contrib/112082979822001278891?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUQwNXI3MGRBEAE,#1 in top Karnataka engg colleges,7 months ago,2020-06-18 22:17:38.689226,5.0,Utkarsh Singh,11,0,https://www.google.com/maps/contrib/108079562279900666979?hl=en-IN
